"","Name","Gender","Count"
"806","Dorothy","F",335
"807","Alyvia","F",334
"808","Jordynn","F",334
"809","Keyla","F",334
"810","Amirah","F",333
"811","Taliyah","F",333
"812","Aubrianna","F",332
"813","Zaria","F",332
"814","Nathaly","F",331
"815","Deborah","F",330
"816","Rylan","F",330
"817","Elin","F",329
"818","Yasmin","F",329
"819","Joyce","F",328
"820","Julianne","F",328
"821","Roselyn","F",328
"822","Zion","F",328
"823","Janae","F",325
"824","Aubrielle","F",324
"825","Salma","F",324
"826","Saniyah","F",324
"827","Ayanna","F",323
"828","Ivanna","F",323
"829","Paulina","F",323
"830","Lilith","F",322
"831","Aurelia","F",320
"832","Henley","F",319
"833","Susan","F",317
"834","Sutton","F",316
"835","Barbara","F",315
"836","Heather","F",315
"837","Remi","F",315
"838","Britney","F",314
"839","Lesly","F",314
"840","Emmalynn","F",312
"841","Kaitlynn","F",311
"842","Mercy","F",311
"843","Bryleigh","F",310
"844","Elliot","F",310
"845","Milena","F",310
"846","Kyndall","F",308
"847","Paula","F",307
"848","Thalia","F",307
"849","Ariyah","F",306
"850","Aubri","F",305
"851","Kaleigh","F",305
"852","Lina","F",304
"853","Kourtney","F",303
"854","Tegan","F",303
"855","Alannah","F",302
"856","Angeline","F",301
"857","Krystal","F",301
"858","Mercedes","F",301
"859","Yaritza","F",301
"860","Carla","F",300
"861","Kairi","F",300
"862","Carter","F",299
"863","Sonia","F",298
"864","Ivory","F",297
"865","Katalina","F",297
"866","Kenia","F",297
"867","Laurel","F",297
"868","Rosie","F",297
"869","Sloan","F",297
"870","Alisha","F",296
"871","Abril","F",295
"872","Aviana","F",295
"873","Carlie","F",295
"874","Everleigh","F",295
"875","Lara","F",295
"876","Micah","F",294
"877","Miya","F",294
"878","Regan","F",294
"879","Dixie","F",293
"880","Scarlette","F",293
"881","Sky","F",293
"882","Aleigha","F",292
"883","Carley","F",292
"884","Charlize","F",291
"885","Patience","F",291
"886","Samiyah","F",291
"887","Sharon","F",291
"888","Libby","F",290
"889","Temperance","F",289
"890","Estella","F",288
"891","Gwyneth","F",288
"892","Luz","F",288
"893","Renee","F",288
"894","Hadlee","F",287
"895","Ingrid","F",287
"896","Jurnee","F",287
"897","Raina","F",287
"898","Anabel","F",285
"899","Rory","F",285
"900","Zahra","F",284
"901","Jewel","F",283
"902","Karlie","F",283
"903","Belen","F",282
"904","Elliott","F",282
"905","Sidney","F",282
"906","Freya","F",281
"907","Marianna","F",281
"908","Marjorie","F",281
"909","Saylor","F",281
"910","Tara","F",281
"911","Campbell","F",280
"912","Kai","F",280
"913","Lilia","F",280
"914","Ann","F",279
"915","Azaria","F",279
"916","Deanna","F",279
"917","Shannon","F",278
"918","Destinee","F",277
"919","Aliza","F",276
"920","Ariya","F",276
"921","Avianna","F",276
"922","Jolene","F",276
"923","Lilyanna","F",276
"924","Macey","F",276
"925","Saniya","F",275
"926","Esme","F",274
"927","Liv","F",274
"928","Oakley","F",274
"929","Haleigh","F",273
"930","Hunter","F",273
"931","Lennon","F",273
"932","Annalee","F",272
"933","Amalia","F",271
"934","Rayne","F",271
"935","Evalyn","F",270
"936","Giavanna","F",270
"937","Rivka","F",270
"938","Karis","F",269
"939","Abrielle","F",268
"940","Kaylen","F",268
"941","Kori","F",268
